id,team_id,slot,discord_username,discord_id,riot_id,pr,tracker
147,1780621847973,4,nyx_cooki3,795932071477903370,Nyxx#1788,1,https://tracker.gg/valorant/profile/riot/Nyxx%231788/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
148,1780621847973,5,casualcrazyz,913624903037644811,CasualCrazyz#000,0,https://tracker.gg/valorant/profile/riot/CasualCrazyz%23000/overview?platform=pc&playlist=competitive&season=5adc33fa-4f30-2899-f131-6fba64c5dd3a
149,1780625306329,1,sweepz3,761354220527026187,sweepzjr#ggez,4,https://tracker.gg/valorant/profile/riot/sweepzjr%23ggez/performance?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d
150,1780625306329,2,bynther,482209405287268372,Eithan Arelius#GOAT,4,https://tracker.gg/valorant/profile/riot/Eithan%20Arelius%23GOAT/performance?platform=pc&playlist=competitive
151,1780625306329,3,kamm2sexy,778069654996385832,femboy lover#kamm,3,https://tracker.gg/valorant/profile/riot/femboy%20lover%23kamm/performance?platform=pc&playlist=competitive
152,1780625306329,4,gravehopping,1043857490707746916,bite#x 9,4,https://tracker.gg/valorant/profile/riot/bite%23x%209/performance?platform=pc&playlist=competitive
153,1780625306329,5,moderator6921,993256830551732314,not me#heh,1,https://tracker.gg/valorant/profile/riot/not%20me%23heh/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
154,1780630028943,1,kai.5784,464913848239915008,koi#mnch,4,https://tracker.gg/valorant/profile/riot/koi%23mnch/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
155,1780630028943,2,panadal2,1036435693121056858,panadal#2597,6,https://tracker.gg/valorant/profile/riot/Panadal%232597/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
156,1780630028943,3,hoodinilies,683561662376312832,lie to me#pls,5,https://tracker.gg/valorant/profile/riot/lie%20to%20me%23pls/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
157,1780630028943,4,jamal_081,852896453948735518,Ovechkin081#8278,1,https://tracker.gg/valorant/profile/riot/Ovechkin081%238278/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
158,1780630028943,5,luvooo,838920691192561693,Luvo#776,,https://tracker.gg/valorant/profile/riot/luvo%23776/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
159,1780968583444,1,veee04695,993545741719044106,INeverTopFrag#1111,1,https://tracker.gg/valorant/profile/riot/INeverTopFrag%231111/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
160,1780968583444,2,dmvscott,1512266462906290211,Yoru1tricc#6113,2,https://tracker.gg/valorant/profile/riot/Yoru1tricc%236113/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
161,1780968583444,3,qwertyredline,701190301670309980,QwertyRedLine#QRL,2,https://tracker.gg/valorant/profile/riot/QwertyRedLine%23QRL/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
162,1780968583444,4,quinfps,176087845423808512,quin#chud,5,https://tracker.gg/valorant/profile/riot/quin%23chud/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
163,1780968583444,5,appletricking,1353154574424342579,Pocket Neon#ADHD,6,https://tracker.gg/valorant/profile/riot/Pocket%20Neon%23ADHD/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
164,1781125855021,1,.peekd,1007085989501620314,peekD#NAE,4,https://tracker.gg/valorant/profile/riot/peekD%23NAE/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
165,1781125855021,2,ansussy,483660749676216325,ansussy#sus,5,https://tracker.gg/valorant/profile/riot/ansussy%23sus/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
166,1781125855021,3,iloveyoutoo,489098543714533387,I love you too#4HIM,5,https://tracker.gg/valorant/profile/riot/I%20love%20you%20too%234HIM/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
167,1781125855021,4,papa_sports9318,901608413321134151,Kaji#immo,1,https://tracker.gg/valorant/profile/riot/Kaji%23immo/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
168,1781125855021,5,swavy5808,535606364769222656,Grandpas Sack#9474,1,https://tracker.gg/valorant/profile/riot/Grandpas%20Sack%239474/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
169,1781126329743,1,squall094,1164356120438120500,FS Squall#9883,1,https://tracker.gg/valorant/profile/riot/FS%20Squall%239883/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
170,1781126329743,2,vashthewiseone,931732223118442558,VashTheWiseOne#vk47,2,https://tracker.gg/valorant/profile/riot/VashTheWiseOne%23vk47/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
171,1781126329743,3,charredknightt,657396217881559060,CharredKnightt #911,0,https://tracker.gg/valorant/profile/riot/CharredKnightt%23911/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
